[Activities:Rate, edge, uml:ControlFlow]
[Activities:Rate, inPartition, uml:ControlFlow]
[Activities:Rate, incoming, uml:ControlFlow]
[Activities:Rate, outgoing, uml:ControlFlow]
[Activities:Rate, source, uml:ControlFlow]
[Activities:Rate, target, uml:ControlFlow]
[Activities:Rate, weight, uml:ControlFlow]
[Activities:Rate, edge, uml:ObjectFlow]
[Activities:Rate, incoming, uml:ObjectFlow]
[Activities:Rate, outgoing, uml:ObjectFlow]
[Activities:Rate, source, uml:ObjectFlow]
[Activities:Rate, target, uml:ObjectFlow]
[Activities:Rate, weight, uml:ObjectFlow]
[Allocations:Allocate, packagedElement, Allocations:Allocate]
[Allocations:Allocate, client, Allocations:Allocated]
[Allocations:Allocate, supplier, Allocations:Allocated]
[Allocations:Allocate, client, Requirements:RequirementRelated]
[Allocations:Allocate, packagedElement, StandardProfileL2:modelLibrary]
[Allocations:Allocate, client, additional_stereotypes:PartProperty]
[Allocations:Allocate, supplier, additional_stereotypes:PartProperty]
[Allocations:Allocate, client, 系统总体:IS系统]
[Allocations:Allocate, supplier, 系统总体:IS系统]
[Allocations:Allocated, client, Allocations:Allocate]
[Allocations:Allocated, supplier, Allocations:Allocate]
[Allocations:Allocated, allocatedFrom, Allocations:Allocated]
[Allocations:Allocated, allocatedTo, Allocations:Allocated]
[Allocations:Allocated, type, Allocations:Allocated]
[Allocations:Allocated, partWithPort, Blocks:NestedConnectorEnd]
[Allocations:Allocated, propertyPath, Blocks:NestedConnectorEnd]
[Allocations:Allocated, ownedAttribute, Ports_Flows:FlowPort]
[Allocations:Allocated, Satisfies, Requirements:RequirementRelated]
[Allocations:Allocated, allocatedFrom, Requirements:RequirementRelated]
[Allocations:Allocated, allocatedTo, Requirements:RequirementRelated]
[Allocations:Allocated, client, Requirements:Satisfy]
[Allocations:Allocated, packagedElement, StandardProfileL2:modelLibrary]
[Allocations:Allocated, allocatedFrom, additional_stereotypes:PartProperty]
[Allocations:Allocated, allocatedTo, additional_stereotypes:PartProperty]
[Allocations:Allocated, ownedAttribute, additional_stereotypes:PartProperty]
[Allocations:Allocated, type, additional_stereotypes:PartProperty]
[Allocations:Allocated, behavior, uml:Activity]
[Allocations:Allocated, constrainedElement, uml:Activity]
[Allocations:Allocated, node, uml:Activity]
[Allocations:Allocated, ownedParameter, uml:Activity]
[Allocations:Allocated, ownedRule, uml:Activity]
[Allocations:Allocated, type, uml:Activity]
[Allocations:Allocated, ownedAttribute, uml:Class]
[Allocations:Allocated, ownedBehavior, uml:Class]
[Allocations:Allocated, ownedConnector, uml:Class]
[Allocations:Allocated, packagedElement, uml:Class]
[Allocations:Allocated, represents, uml:Property]
[Allocations:Allocated, type, 硬件系统:硬件构件]
[Allocations:Allocated, ownedAttribute, 硬件系统:硬件系统]
[Allocations:Allocated, type, 软件系统:软件模块]
[Allocations:Allocated, ownedAttribute, 软件系统:软件系统]
[Blocks:Block, type, Ports_Flows:FlowPort]
[Blocks:Block, packagedElement, StandardProfileL2:modelLibrary]
[Blocks:Block, ownedAttribute, additional_stereotypes:PartProperty]
[Blocks:Block, type, additional_stereotypes:PartProperty]
[Blocks:Block, ownedAttribute, additional_stereotypes:ValueProperty]
[Blocks:Block, classifier, uml:Class]
[Blocks:Block, conveyed, uml:Class]
[Blocks:Block, packagedElement, uml:Class]
[Blocks:Block, type, uml:Class]
[Blocks:NestedConnectorEnd, partWithPort, Allocations:Allocated]
[Blocks:NestedConnectorEnd, propertyPath, Allocations:Allocated]
